model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Random Forest,2025-09-12,61,0.010222081462715681,0.011748308755337755,0.01751727308146651,0.02214872543442623
Random Forest,2025-09-15,53,0.007981612399221008,0.009208160596573272,0.012974150654561067,0.019859827113207548
Random Forest,2025-09-16,51,0.009217553718582619,0.012622258662165842,0.016258406014565116,0.021412272666666666
Random Forest,2025-09-17,45,0.006104250787154786,0.007202349062785366,0.017092690947982946,0.021221926533333334
Random Forest,2025-09-18,53,0.00568996673633345,0.006881843424986785,0.016482999539529895,0.020728095716981133
Random Forest,2025-09-19,53,0.00632555991152061,0.007265207911658567,0.018907077074542877,0.022402345943396226
Random Forest,2025-09-22,58,0.007072084858932921,0.008614828963063006,0.015488993248035115,0.01930160078448276
Random Forest,2025-09-23,31,0.007964146323378055,0.009205525380231117,0.019436202132173074,0.024245582774193544
Random Forest,2025-09-24,42,0.007694630927085565,0.008571934512421844,0.011906958417966917,0.019043906785714285
Random Forest,2025-09-25,39,0.005378518156219931,0.006188877661529797,0.013942318311772995,0.01775521646153846
Random Forest,2025-09-26,50,0.006574498438489968,0.007399708029814264,0.014641798827797137,0.01899045656
Random Forest,2025-09-29,68,0.010219542195984577,0.01307963716645365,0.02591773210202941,0.017059533808823527
Random Forest,2025-09-30,47,0.008858050777242287,0.01072548248426621,0.023819446266490046,0.01621583235106383
Random Forest,2025-10-01,45,0.006945620650195108,0.00865451791988419,0.020093327822784533,0.01751429938888889
Random Forest,2025-10-02,54,0.009844953131717238,0.011914639797744386,0.024621142992853232,0.016628623157407405
Random Forest,2025-10-03,44,0.007132664714300987,0.008468905544609464,0.022036644905297543,0.016552856522727272
Random Forest,2025-10-06,63,0.00651704900750875,0.00805611536986762,0.020151723834079836,0.021088334369841272
Random Forest,2025-10-07,46,0.004536198482370605,0.0058287655779269785,0.014874568836682468,0.016385134532608692
Random Forest,2025-10-08,52,0.005093713863330331,0.0071900109455788255,0.01686826635761037,0.01664520455769231
Random Forest,2025-10-09,41,0.005012654260271333,0.006649091503985247,0.01606979787849429,0.01624316904634146
Random Forest,2025-10-10,52,0.007795267144833768,0.009770091124906732,0.020600084407935596,0.018446424698076926
Random Forest,2025-10-13,40,0.016901397753566742,0.020434775744154924,0.03214684617705639,0.0172661004875
Random Forest,2025-10-14,45,0.020454826249968396,0.022105827423120755,0.03828169517219062,0.01782686892222222
Random Forest,2025-10-15,54,0.01733745207964365,0.019129785749268147,0.036122601168851014,0.01940953190740741
Random Forest,2025-10-16,62,0.014570025401539599,0.017447363779165066,0.03185821052700758,0.017586785296774196
Random Forest,2025-10-17,55,0.01499876863851757,0.017341716192704942,0.031015138107944578,0.01619046421818182
Random Forest,2025-10-20,65,0.007299727006001814,0.009665254567170652,0.02243951394652513,0.018103679676923074
Random Forest,2025-10-21,47,0.009235341640271441,0.011244813352032796,0.025770465253872086,0.022611559144680847
Random Forest,2025-10-22,45,0.007437555297392855,0.009221084135416264,0.019319541048672405,0.019540001333333338
Random Forest,2025-10-23,45,0.006065778693635689,0.007949376395089781,0.02140720233114224,0.020868017866666665
Random Forest,2025-10-24,72,0.00630535192616932,0.008267427279587807,0.01749933316023084,0.019627386756944445
Random Forest,2025-10-27,78,0.008658672738371663,0.010151209205194295,0.019912064278450485,0.02015167075
Random Forest,2025-10-28,125,0.012429559210154,0.0141305841381577,0.028391784910112575,0.021492475860000002
Random Forest,2025-10-29,102,0.009309823016047708,0.01189336660939794,0.029484848592284212,0.02258579480392157
Random Forest,2025-10-30,182,0.0089369003412953,0.011221584311867216,0.023661890883346623,0.02097029393131868
Random Forest,2025-10-31,99,0.008572232865942027,0.011173301518132422,0.02492793248684112,0.020405205752525253
Random Forest,2025-11-03,61,0.0065169816711166135,0.00819570653578746,0.026701006778805915,0.022457131778688525
Random Forest,2025-11-04,64,0.006879773815743404,0.008354077471312801,0.018412030396575522,0.020907020078125
Random Forest,2025-11-05,40,0.00697479603638467,0.008388014993183701,0.020668999373447093,0.0206877622625
Random Forest,2025-11-06,41,0.004183072482794856,0.005294724293911305,0.02061274661341814,0.018630071182926828
Random Forest,2025-11-07,41,0.006336421876916904,0.0077714761593072005,0.017763100893849946,0.019442387670731708
Random Forest,2025-11-10,57,0.007449751110459671,0.009918593273595348,0.017659802218539626,0.019811904824561404
Random Forest,2025-11-11,52,0.006385193316741861,0.008209314878855335,0.015123921437547129,0.019844455884615385
Random Forest,2025-11-12,34,0.008592420292790953,0.009251119986576056,0.01426352911135725,0.019650239455882353
Random Forest,2025-11-13,47,0.0064645975085859606,0.007633557629579201,0.014578079121147659,0.019900158489361705
Random Forest,2025-11-14,71,0.008120529677717888,0.00897687754352322,0.015050731471437975,0.02051188021126761
Random Forest,2025-11-17,78,0.010588756106959914,0.012076678502981095,0.010445172877576247,0.020712893615384614
Random Forest,2025-11-18,43,0.005800416883440696,0.00716230829776918,0.0156158622960711,0.02102910988372093
Random Forest,2025-11-19,68,0.005568466615162241,0.007483369985299044,0.020412673434132993,0.01896791882352941
Random Forest,2025-11-20,40,0.0028819447410191905,0.0033577748515690475,0.017775878380052706,0.01883954305
Random Forest,2025-11-21,47,0.005611652715244243,0.007470525764348729,0.01777388666697,0.019440319329787237
Random Forest,2025-11-24,74,0.004527919088554746,0.005945047185760767,0.01743150676122384,0.018587784567567565
Random Forest,2025-11-25,57,0.0042996650437153285,0.005166246006953741,0.013550991862358698,0.01688906446491228
Random Forest,2025-11-26,59,0.006829258734353778,0.008215141576340672,0.015499657493526603,0.017570347254237288
Random Forest,2025-11-27,192,0.005528651401953962,0.006640219324406571,0.017676361846194248,0.016770479388020832
Random Forest,2025-11-28,90,0.004806185728421659,0.0057484201010468685,0.016510819092703327,0.01697521032222222
Random Forest,2025-12-01,66,0.0065841845932132215,0.008744095132098308,0.01761973041081515,0.016830998340909092
Random Forest,2025-12-02,72,0.005356053524329916,0.007085235161861664,0.017712897472342223,0.01709574029861111
Random Forest,2025-12-03,61,0.0055539221063932885,0.0073364255306297265,0.015556548699186918,0.015544170081967214
Random Forest,2025-12-04,46,0.008313710332989228,0.010438081939401146,0.013738532672109758,0.016780829717391307
Random Forest,2025-12-05,50,0.006686293447630926,0.009336724752560704,0.019886362818069717,0.01728986623
Random Forest,2025-12-08,66,0.006543551212850772,0.008823202988705878,0.019471998322952606,0.015577658527272725
Random Forest,2025-12-09,36,0.010970632745766337,0.012991421757353449,0.025395777774974652,0.01595790061111111
Random Forest,2025-12-10,44,0.012267764823612637,0.015036086004646095,0.024844142005101485,0.016256707886363637
Random Forest,2025-12-11,53,0.01582530288379124,0.017807730738238905,0.03230846336744019,0.01669447138679245
Random Forest,2025-12-12,48,0.007135358860814099,0.009573091116418636,0.021237770716349257,0.017707003854166667
Random Forest,2025-12-15,61,0.004608841461665821,0.005466667809242754,0.017470579976063244,0.018037501327868848
Random Forest,2025-12-16,67,0.0046331764774263885,0.006668279996364699,0.017891479093136587,0.018059023985074626
Random Forest,2025-12-17,118,0.005598564441657502,0.006897145827545802,0.014813487242386339,0.01634580538135593
Random Forest,2025-12-18,46,0.004240756807381112,0.007048893238077803,0.01578389804648311,0.015414119684782606
Random Forest,2025-12-19,62,0.005124304927729949,0.0071074318986812995,0.01892630864805988,0.018010012506451612
