model,ticker,n,mae,rmse,mean_y_true,mean_y_pred
GNN + News,ACL,15,0.01238839965418209,0.017423331485451603,0.025990187066296713,0.017769513733333332
GNN + News,ACV,30,0.006893440738806805,0.007713380249729314,0.014063618953029258,0.01624646476666667
GNN + News,AGG,33,0.0083526558269346,0.009761972128552225,0.015822680977483544,0.020693704666666667
GNN + News,AGR,26,0.015426860215909348,0.01888649716051317,0.03193087589282252,0.022690823423076927
GNN + News,ANV,18,0.013449378849549451,0.016407995005086825,0.028068463473270282,0.015944398777777775
GNN + News,APH,12,0.008072672412307557,0.008937289643636442,0.015238300043468642,0.02142015283333333
GNN + News,AST,15,0.005972466552345808,0.008165735588637162,0.016535519498089915,0.015572044066666664
GNN + News,BAF,34,0.0071615355406426644,0.009526709762932151,0.01166851770625827,0.01522326260294118
GNN + News,BCM,104,0.008291929738115069,0.009356175306915477,0.013754381574332104,0.019296342298076922
GNN + News,BFC,14,0.005897556287633229,0.007581133279949484,0.01677499841233444,0.01911899521428571
GNN + News,BID,147,0.005735505709413003,0.007246557684622918,0.01542633287228487,0.014028842738095236
GNN + News,BMP,17,0.013297457902979194,0.014853487101352876,0.020044542739496466,0.021055705470588236
GNN + News,BSI,40,0.010475239008291849,0.011463263041040755,0.020849076542071947,0.022486117174999997
GNN + News,BSR,122,0.014993455896103102,0.0202542062318251,0.028341534589493567,0.01597008510655738
GNN + News,BWE,60,0.005407453387672187,0.006572858441417241,0.01076264783429598,0.014950735908333335
GNN + News,C4G,20,0.0049680677837481545,0.005477038695700836,0.01914835702627892,0.0215992824
GNN + News,CMG,30,0.007518853388701679,0.008860370288247665,0.016959746244053,0.017823568866666663
GNN + News,CRE,42,0.010502684020391681,0.012752004909467617,0.03119663463994147,0.02140865635714286
GNN + News,CSV,35,0.007514376646666595,0.009053852594014995,0.019796141609549463,0.020585662857142858
GNN + News,CTD,48,0.0108464335149682,0.013174972569791376,0.023753221884059355,0.02206430559375
GNN + News,CTG,113,0.007389138331457913,0.00901885760869158,0.01768970522469118,0.014357782668141594
GNN + News,CTS,96,0.010155778309242835,0.012771291596948845,0.029397522041108404,0.022458879750000004
GNN + News,DBC,34,0.005175823630785644,0.007563890444750396,0.01732885391752722,0.016495256985294117
GNN + News,DBD,32,0.009881159825840447,0.010545656424229072,0.006282077105424784,0.016015848875
GNN + News,DCM,20,0.0077349592702857985,0.01034078322397219,0.020234979363158302,0.021399040700000004
GNN + News,DGC,34,0.011909526611681912,0.013481374603208182,0.01971978472326602,0.02043315764705882
GNN + News,DGW,55,0.008970642155925664,0.01149520028877889,0.02320613246411081,0.016220878836363636
GNN + News,DHG,10,0.009783912059574417,0.011554220717892902,0.00850917657371606,0.018065688700000006
GNN + News,DIG,146,0.013090371889294846,0.0167518509567385,0.03343562774156051,0.021462136321917808
GNN + News,DMC,18,0.008369737808908578,0.009071534456443457,0.007250579746646978,0.01562031755555556
GNN + News,DPG,55,0.007227049952658326,0.009404375291132729,0.024710472097450985,0.021872242145454544
GNN + News,DPM,77,0.008597309029915663,0.010370161414196544,0.017930137066097963,0.021507978844155846
GNN + News,DXG,121,0.01487247091350713,0.018096657188537233,0.033914397817012644,0.020867636603305786
GNN + News,EIB,36,0.009933495835739343,0.013521218909751175,0.024024728478656828,0.015189867138888887
GNN + News,ELC,31,0.008002833839413725,0.009259160242403662,0.012348696604491196,0.017410004322580643
GNN + News,FCN,21,0.005906349918695901,0.008801544083426286,0.024439580561149647,0.022712573428571425
GNN + News,FMC,14,0.004267012118353764,0.00529913768454253,0.009778602198431479,0.013597333500000001
GNN + News,FOX,20,0.01100079042443431,0.011890055190046737,0.017639097152277784,0.01926738625
GNN + News,FPT,74,0.00639403892047572,0.007465370753981541,0.018417731084785303,0.018479629479729733
GNN + News,FRT,24,0.006856739338919146,0.008554053474860497,0.016519368509761937,0.0176579875
