article_id,ticker,company_name,is_primary,mention_count,relevance_score,company_sentiment,mapping_method,matched_text
N009960,DPM,Dam Phu My,1,1,1.0,0.0,ticker_match,DPM
N009961,DPM,Dam Phu My,1,1,1.0,0.0,ticker_match,DPM
N009962,EIB,Eximbank,1,1,1.0,0.0,ticker_match,EIB
N009963,EIB,Eximbank,1,1,0.95,0.0,company_name_match,Eximbank
N009964,FOX,FPT Telecom,1,1,1.0,0.0,ticker_match,FOX
N009965,FTS,FPTS,1,1,1.0,0.0,ticker_match,FTS
N009966,GEG,GEG,1,1,1.0,0.0,ticker_match,GEG
N009967,GEX,GELEX,1,1,0.95,0.0,company_name_match,GELEX
N009968,TRA,Traphaco,0,1,1.0,0.0,ticker_match,TRA
N009968,HCM,HSC,1,1,1.0,0.0,ticker_match,HCM
N009969,HDB,HDBank,1,2,1.0,0.0,ticker_match,HDB
N009970,HDB,HDBank,1,2,1.0,0.0,ticker_match,HDB
N009971,HDB,HDBank,1,2,1.0,0.0,ticker_match,HDB
N009972,HDB,HDBank,1,2,1.0,0.0,ticker_match,HDB
N009973,HDB,HDBank,1,2,1.0,0.0,ticker_match,HDB
N009974,HSG,Hoa Sen Group,1,1,1.0,0.0,ticker_match,HSG
N009975,KDH,Khang Dien,1,1,1.0,0.0,ticker_match,KDH
N009976,KDH,Khang Dien,1,1,1.0,0.0,ticker_match,KDH
N009977,LPB,LPBank,1,1,1.0,0.0,ticker_match,LPB
N009978,LPB,LPBank,1,1,1.0,0.0,ticker_match,LPB
N009979,MBB,MBBank,1,1,1.0,0.0,ticker_match,MBB
N009980,MBB,MBBank,1,1,1.0,0.0,ticker_match,MBB
N009981,MBB,MBBank,1,2,1.0,0.0,ticker_match,MBB
N009982,MBB,MBBank,1,2,1.0,0.0,ticker_match,MBB
N009983,MSN,Masan Group,1,1,1.0,0.0,ticker_match,MSN
N009984,NLG,Nam Long,1,1,1.0,0.0,ticker_match,NLG
N009985,PNJ,Phu Nhuan Jewelry,1,1,1.0,0.0,ticker_match,PNJ
N009986,POW,PV Power,1,1,1.0,0.0,ticker_match,POW
N009987,SAB,Sabeco,1,1,1.0,0.0,ticker_match,SAB
N009988,SSB,SSB,1,1,1.0,0.0,ticker_match,SSB
N009989,STB,Sacombank,1,1,0.8,0.0,source_ticker,STB
N009990,VHM,Vinhomes,1,1,1.0,0.0,ticker_match,VHM
N009991,VHM,Vinhomes,1,1,1.0,0.0,ticker_match,VHM
N009992,VHM,Vinhomes,1,1,0.95,0.316667,company_name_match,Vinhomes
N009993,VIC,Vingroup,1,1,0.8,0.0,source_ticker,VIC
N009994,VJC,Vietjet,1,1,1.0,0.0,ticker_match,VJC
N009995,VPB,VPBank,1,1,0.95,0.0,company_name_match,VPBank
N009996,VRE,Vincom Retail,1,1,1.0,0.0,ticker_match,VRE
N009997,VRE,Vincom Retail,1,1,1.0,0.0,ticker_match,VRE
N009998,VRE,Vincom Retail,1,1,0.95,0.633333,company_name_match,Vincom Retail
N009999,AAA,AAA,1,1,1.0,0.0,ticker_match,AAA
N010000,AAA,AAA,1,1,1.0,0.0,ticker_match,AAA
N010001,AAA,AAA,1,1,1.0,0.0,ticker_match,AAA
N010002,ACB,ACB,1,1,1.0,-0.333333,ticker_match,ACB
N010003,APH,APH,1,1,1.0,0.0,ticker_match,APH
N010004,APH,APH,1,1,1.0,0.0,ticker_match,APH
N010005,APH,APH,1,1,1.0,0.0,ticker_match,APH
N010006,AST,AST,1,1,1.0,0.0,ticker_match,AST
N010007,AST,AST,1,1,1.0,0.0,ticker_match,AST
N010008,AST,AST,1,1,1.0,0.0,ticker_match,AST
N010009,AST,AST,1,1,1.0,-0.333333,ticker_match,AST
N010010,BCM,Becamex IDC,1,1,1.0,0.0,ticker_match,BCM
N010011,BID,BIDV,1,1,1.0,0.0,ticker_match,BID
N010012,CTG,VietinBank,1,1,1.0,0.0,ticker_match,CTG
N010013,CTG,VietinBank,1,1,1.0,0.0,ticker_match,CTG
N010014,DBC,Dabaco,1,1,1.0,0.0,ticker_match,DBC
N010015,DGW,Digiworld,1,1,1.0,0.0,ticker_match,DGW
N010016,DGW,Digiworld,1,1,1.0,0.0,ticker_match,DGW
N010017,DGW,Digiworld,1,1,1.0,0.0,ticker_match,DGW
N010018,DGW,Digiworld,1,1,1.0,0.0,ticker_match,DGW
N010019,DPG,DPG,1,1,1.0,0.0,ticker_match,DPG
N010020,DPG,DPG,1,1,1.0,0.0,ticker_match,DPG
N010021,DPM,Dam Phu My,1,1,0.8,0.0,source_ticker,DPM
N010022,EIB,Eximbank,1,1,1.0,0.0,ticker_match,EIB
N010023,EIB,Eximbank,1,1,1.0,0.0,ticker_match,EIB
N010024,EIB,Eximbank,1,1,1.0,0.0,ticker_match,EIB
N010025,ELC,ELC,1,1,1.0,0.0,ticker_match,ELC
N010026,ELC,ELC,1,1,1.0,0.0,ticker_match,ELC
N010027,ELC,ELC,1,1,1.0,0.0,ticker_match,ELC
N010028,FRT,FPT Retail,1,1,1.0,0.0,ticker_match,FRT
N010029,FRT,FPT Retail,1,1,1.0,0.0,ticker_match,FRT
N010030,FRT,FPT Retail,1,1,1.0,0.0,ticker_match,FRT
N010031,FTS,FPTS,1,1,1.0,0.0,ticker_match,FTS
N010032,GAS,PV GAS,1,1,1.0,0.0,ticker_match,GAS
N010033,GAS,PV GAS,1,1,1.0,0.0,ticker_match,GAS
N010034,GEX,GELEX,1,1,1.0,0.0,ticker_match,GEX
N010035,GEX,GELEX,1,1,1.0,0.0,ticker_match,GEX
N010036,GMD,Gemadept,1,1,1.0,0.0,ticker_match,GMD
N010037,GMD,Gemadept,1,1,1.0,0.0,ticker_match,GMD
N010038,GVR,VRG,1,1,1.0,0.0,ticker_match,GVR
N010039,GVR,VRG,1,1,1.0,0.0,ticker_match,GVR
N010040,GVR,VRG,1,1,1.0,0.0,ticker_match,GVR
N010041,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N010042,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N010043,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N010044,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N010045,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N010046,HDB,HDBank,1,1,1.0,0.0,ticker_match,HDB
N010047,HDB,HDBank,1,2,1.0,0.0,ticker_match,HDB
N010048,HDB,HDBank,1,1,1.0,0.0,ticker_match,HDB
N010049,HDB,HDBank,1,1,0.95,0.633333,company_name_match,HDBank
N010050,HHV,Deo Ca,1,1,1.0,0.0,ticker_match,HHV
N010051,HHV,Deo Ca,1,1,1.0,0.0,ticker_match,HHV
N010052,HCM,HSC,0,1,1.0,0.0,ticker_match,HCM
N010052,HHV,Deo Ca,1,1,1.0,0.0,ticker_match,HHV
N010053,HPG,Hoa Phat,1,1,1.0,0.0,ticker_match,HPG
N010054,HPG,Hoa Phat,1,1,1.0,0.0,ticker_match,HPG
N010055,HPG,Hoa Phat,1,1,1.0,0.0,ticker_match,HPG
N010056,HPG,Hoa Phat,1,1,0.8,-0.266667,source_ticker,HPG
